order_id,customer_id,restaurant_id,restaurant_city,delivery_city,order_time,pickup_time,delivery_time,delivery_status,delivery_partner_id,order_amount,payment_mode,rating
O100028,C6431,R382,Hyderabad,Hyderabad,2026-01-03 17:02:00,2026-01-03 17:00:00,2026-01-03 16:54:00,PICKED,D426,1747,Wallet,
O100029,C8967,R379,Mumbai,Kolkata,2026/01/17 15:25:00,2026-01-17 15:39:00,2026-01-17 16:06:00,DELIVERED,D651,872,DebitCard,2.4
O100030,C9757,R490,Chennai,Chennai,2026-01-17 07:47:00,2026-01-17 07:46:00,2026-01-17 07:55:00,CANCELLED,D693,2475,Wallet,
O100031,C1910,R985,Mumbai,Kolkata,2026-01-07 02:00:00,2026-01-07 02:27:00,2026-01-07 02:51:00,PICKED,D596,"2,583",DebitCard,
O100032,C2094,R346,Hyderabad,Kolkata,2026-01-26 14:04:00,2026-01-26 14:21:00,2026-01-26 14:31:00,DELIVERED,D441,602,UPI,4.6
O100033,C8683,R885,Mumbai,Bangalore,2026-01-28 20:21:00,,2026-01-28 21:11:00,PICKED,D230,2126,Wallet,
O100034,C3172,R538,Mumbai,Hyderabad,02/01/2026 03:43:00,2026-01-02 03:39:00,2026-01-02 04:02:00,CANCELLED,D103,492,Wallet,
O100035,C9248,R759,Bangalore,Mumbai,2026-01-16 23:42:00,2026-01-16 23:53:00,2026-01-16 23:58:00,DELIVERED,D940,1268,COD,4.1
O100036,C4785,R739,Kolkata,Bangalore,2026-01-27 18:11:00,2026-01-27 18:14:00,2026-01-27 19:13:00,DELIVERED,D919,924,Wallet,4.7
O100037,C9402,R987,Kolkata,Delhi,2026-01-11 11:13:00,2026-01-11 11:29:00,2026-01-11 11:20:00,CANCELLED,D317,1429,DebitCard,
O100038,C5697,R191,Chennai,Mumbai,2026-01-21 16:40:00,2026-01-21 16:47:00,2026-01-21 17:22:00,DELIVERED,D792,invalid,COD,1.4
O100039,C2652,R327,Mumbai,Mumbai,2026-02-02 07:21:00,2026-02-02 07:44:00,,PLACED,D589,2205,CreditCard,
O100040,C6535,R211,Mumbai,Hyderabad,2026-01-11 11:22:00,2026-01-11 11:37:00,2026-01-11 12:11:00,CANCELLED,D569,811,UPI,
O100041,C5115,R685,Chennai,Mumbai,2026-01-19 17:10:00,2026-01-19 17:25:00,2026-01-19 18:00:00,PLACED,D185,1644,COD,
O100042,C3428,R446,Pune,Chennai,2026-01-06 11:16:00,2026-01-06 11:17:00,2026-01-06 11:57:00,PLACED,D163,2275,DebitCard,
O100043,C2463,R557,Hyderabad,Chennai,2026-01-03 21:26:00,2026-01-03 21:51:00,2026-01-03 21:52:00,DELIVERED,D159,669,CreditCard,4.4
O100044,C6080,R714,Pune,Chennai,2026-02-01 23:14:00,,2026-02-01 23:43:00,PLACED,D238,2133,Wallet,
O100045,C1657,R956,Delhi,Mumbai,2026-02-01 09:15:00,2026-02-01 09:21:00,2026-02-01 09:55:00,PICKED,D306,2477,COD,
O100046,C6021,R769,Kolkata,Bangalore,2026-02-01 05:56:00,2026-02-01 05:54:00,2026-02-01 06:33:00,PLACED,D449,,DebitCard,
O100047,C5324,R200,Mumbai,Pune,2026-01-02 11:57:00,2026-01-02 11:56:00,2026-01-02 12:55:00,CANCELLED,D788,1760,UPI,
O100048,C3455,R517,Pune,Mumbai,2026-01-07 17:11:00,2026-01-07 17:38:00,2026-01-07 17:53:00,CANCELLED,D489,1051,COD,
O100049,C4394,R214,Mumbai,Chennai,2026-02-02 12:31:00,2026-02-02 12:32:00,2026-02-02 12:42:00,DELIVERED,D759,2400,UPI,3.7
O100050,C4243,R293,Mumbai,Hyderabad,2026-01-21 09:54:00,2026-01-21 09:55:00,2026-01-21 09:58:00,DELIVERED,D303,2010,Wallet,1.5
O100051,C9224,R462,Pune,Hyderabad,10/01/2026 07:34:00,2026-01-10 07:46:00,2026-01-10 08:02:00,DELIVERED,D424,323,UPI,3.5
O100052,C9472,R291,Mumbai,Hyderabad,2026-01-16 01:51:00,2026-01-16 01:58:00,,CANCELLED,D192,258,DebitCard,
O100053,C2011,R916,Delhi,Mumbai,2026-01-29 13:46:00,2026-01-29 13:55:00,2026-01-29 14:41:00,CANCELLED,D918,1175,CreditCard,
O100054,C2609,R757,Bangalore,Mumbai,2026-02-02 06:36:00,2026-02-02 06:35:00,2026-02-02 06:54:00,DELIVERED,D524,1716,CreditCard,4.6
O100055,C7235,R873,Mumbai,Bangalore,2026-01-03 21:55:00,,2026-01-03 22:26:00,DELIVERED,D413,1841,CreditCard,4.9
O100056,C8216,R112,Mumbai,Mumbai,2026-01-04 19:43:00,2026-01-04 19:48:00,2026-01-04 19:48:00,CANCELLED,D653,1366,DebitCard,
O100057,C6874,R714,Delhi,Kolkata,2026-01-02 16:32:00,2026-01-02 16:52:00,2026-01-02 17:07:00,DELIVERED,D907,invalid,COD,1.3
O100058,C5528,R505,Pune,Hyderabad,2026/01/06 05:21:00,2026-01-06 05:43:00,2026-01-06 06:09:00,DELIVERED,D215,2423,CreditCard,2.5
O100059,C3851,R749,Mumbai,Bangalore,2026-01-09 06:18:00,2026-01-09 06:41:00,2026-01-09 06:43:00,DELIVERED,D749,892,DebitCard,3.9
O100060,C4759,R966,Bangalore,Delhi,2026-01-16 16:40:00,2026-01-16 16:57:00,2026-01-16 16:55:00,CANCELLED,D345,1679,Wallet,
O100061,C9229,R239,Chennai,Mumbai,2026-01-21 03:35:00,2026-01-21 04:05:00,2026-01-21 04:19:00,CANCELLED,D852,1406,DebitCard,
O100062,C4638,R539,Delhi,Chennai,2026-01-05 11:55:00,2026-01-05 11:52:00,2026-01-05 12:25:00,DELIVERED,D282,"1,436",DebitCard,3.5
O100063,C9701,R957,Pune,Mumbai,2026-01-18 05:25:00,2026-01-18 05:21:00,2026-01-18 05:34:00,PICKED,D895,1972,COD,
O100064,C4254,R539,Chennai,Chennai,2026-01-25 18:20:00,2026-01-25 18:47:00,2026-01-25 18:37:00,PICKED,D759,572,Wallet,
O100065,C9418,R795,Pune,Pune,2026-02-04 17:35:00,2026-02-04 17:45:00,,PLACED,D787,768,DebitCard,
O100066,C9372,R101,Mumbai,Delhi,2026-01-24 02:20:00,,2026-01-24 02:54:00,PLACED,D591,1823,COD,
O100067,C6926,R842,Mumbai,Bangalore,2026-01-17 04:47:00,2026-01-17 04:43:00,2026-01-17 05:04:00,PLACED,D925,1743,DebitCard,
O100068,C6685,R432,Chennai,Mumbai,23/01/2026 18:08:00,2026-01-23 18:28:00,2026-01-23 18:33:00,PICKED,D405,1093,DebitCard,
O100069,C2727,R749,Hyderabad,Chennai,2026-01-24 11:57:00,2026-01-24 12:11:00,2026-01-24 12:43:00,PICKED,D459,,Wallet,
O100070,C2528,R692,Hyderabad,Delhi,2026-01-19 03:49:00,2026-01-19 04:13:00,2026-01-19 04:03:00,CANCELLED,D445,1081,CreditCard,
O100071,C3520,R183,Hyderabad,Mumbai,2026-01-02 00:06:00,2026-01-02 00:23:00,2026-01-02 00:44:00,DELIVERED,D587,1089,CreditCard,3.0
O100072,C5196,R156,Pune,Pune,2026-01-14 12:44:00,2026-01-14 12:41:00,2026-01-14 13:34:00,PLACED,D446,911,CreditCard,
O100073,C6555,R569,Kolkata,Chennai,2026-01-24 05:21:00,2026-01-24 05:39:00,2026-01-24 06:25:00,PLACED,D981,2214,DebitCard,
O100074,C1491,R772,Chennai,Delhi,2026-01-01 19:29:00,2026-01-01 19:35:00,2026-01-01 19:42:00,PICKED,D140,947,UPI,
O100075,C2041,R292,Mumbai,Bangalore,2026-02-03 19:18:00,2026-02-03 19:23:00,2026-02-03 20:06:00,PICKED,D848,740,COD,
O100076,C8874,R332,Kolkata,Mumbai,2026-01-21 21:18:00,2026-01-21 21:40:00,2026-01-21 21:33:00,PLACED,D156,invalid,DebitCard,
O100077,C9053,R742,Kolkata,Pune,2026-01-16 13:28:00,,2026-01-16 13:48:00,PICKED,D548,2320,CreditCard,
O100078,C7435,R541,Kolkata,Hyderabad,2026-01-04 04:37:00,2026-01-04 04:47:00,,DELIVERED,D180,543,DebitCard,3.0
O100079,C1138,R152,Mumbai,Pune,2026-01-19 18:37:00,2026-01-19 19:00:00,2026-01-19 19:37:00,PLACED,D869,2236,CreditCard,
O100080,C9259,R922,Kolkata,Mumbai,2026-02-05 00:04:00,2026-02-05 00:02:00,2026-02-05 00:22:00,PLACED,D958,2391,COD,
O100081,C7633,R335,Kolkata,Pune,2026-01-13 19:20:00,2026-01-13 19:32:00,2026-01-13 19:49:00,DELIVERED,D930,864,CreditCard,5.0
O100082,C3564,R498,Hyderabad,Chennai,2026-01-26 22:45:00,2026-01-26 23:09:00,2026-01-26 23:31:00,CANCELLED,D567,1358,CreditCard,
O100083,C7159,R118,Kolkata,Kolkata,2026-01-06 01:20:00,2026-01-06 01:17:00,2026-01-06 01:57:00,DELIVERED,D989,1698,DebitCard,1.2
O100084,C7301,R235,Hyderabad,Delhi,2026-01-17 12:42:00,2026-01-17 13:08:00,2026-01-17 12:59:00,PICKED,D102,1896,DebitCard,
O100085,C8674,R703,Mumbai,Kolkata,24/01/2026 13:56:00,2026-01-24 14:01:00,2026-01-24 14:06:00,PLACED,D298,410,DebitCard,
O100086,C3474,R347,Delhi,Chennai,2026-01-04 15:05:00,2026-01-04 15:33:00,2026-01-04 15:37:00,PICKED,D751,1171,UPI,
O100087,C8344,R299,Kolkata,Mumbai,2026/01/30 08:26:00,2026-01-30 08:40:00,2026-01-30 08:32:00,CANCELLED,D327,1834,UPI,
O100088,C3349,R112,Kolkata,Pune,2026-01-31 09:06:00,,2026-01-31 09:27:00,CANCELLED,D278,833,Wallet,
O100089,C4051,R132,Mumbai,Kolkata,2026-01-31 20:04:00,2026-01-31 20:16:00,2026-01-31 20:44:00,CANCELLED,D740,2132,UPI,
O100090,C8460,R615,Delhi,Kolkata,2026-01-19 01:37:00,2026-01-19 02:03:00,2026-01-19 03:03:00,PLACED,D810,2377,UPI,
O100091,C9110,R155,Chennai,Bangalore,2026-01-13 06:18:00,2026-01-13 06:48:00,,PICKED,D615,713,UPI,
O100092,C1544,R135,Hyderabad,Bangalore,2026-01-20 01:28:00,2026-01-20 01:55:00,2026-01-20 02:20:00,PICKED,D596,,Wallet,
O100093,C2395,R189,Delhi,Hyderabad,2026-01-06 10:15:00,2026-01-06 10:20:00,2026-01-06 11:10:00,PICKED,D394,"2,553",COD,
O100094,C4442,R841,Hyderabad,Delhi,2026-02-02 01:23:00,2026-02-02 01:23:00,2026-02-02 01:50:00,PICKED,D891,2057,CreditCard,
O100095,C4906,R613,Pune,Pune,2026-02-01 18:32:00,2026-02-01 18:53:00,2026-02-01 18:45:00,CANCELLED,D721,invalid,CreditCard,
O100096,C3551,R224,Hyderabad,Kolkata,2026-01-09 05:00:00,2026-01-09 05:26:00,2026-01-09 05:40:00,CANCELLED,D674,1482,UPI,
O100097,C7704,R174,Pune,Hyderabad,2026-01-31 01:30:00,2026-01-31 01:54:00,2026-01-31 02:27:00,PLACED,D783,740,COD,
O100098,C3108,R571,Chennai,Chennai,2026-01-21 07:04:00,2026-01-21 07:19:00,2026-01-21 07:39:00,PLACED,D609,2038,UPI,
O100099,C4443,R867,Hyderabad,Bangalore,2026-01-31 20:54:00,,2026-01-31 21:09:00,PLACED,D146,2246,UPI,
O100100,C6647,R363,Mumbai,Bangalore,2026-01-26 19:39:00,2026-01-26 19:42:00,2026-01-26 19:56:00,CANCELLED,D708,475,COD,
O100101,C7581,R178,Mumbai,Kolkata,2026-01-07 13:21:00,2026-01-07 13:43:00,2026-01-07 13:35:00,CANCELLED,D873,1503,CreditCard,
O100102,C4476,R885,Pune,Delhi,25/01/2026 19:51:00,2026-01-25 19:49:00,2026-01-25 20:31:00,PLACED,D741,1800,Wallet,
O100103,C4359,R294,Pune,Delhi,2026-01-01 15:24:00,2026-01-01 15:23:00,2026-01-01 16:02:00,PICKED,D641,1559,COD,
O100104,C9179,R131,Kolkata,Bangalore,2026-01-30 15:50:00,2026-01-30 16:18:00,,DELIVERED,D598,771,COD,2.8
O100105,C8673,R979,Bangalore,Kolkata,2026-01-15 20:53:00,2026-01-15 20:55:00,2026-01-15 21:46:00,PICKED,D444,457,CreditCard,
O100106,C7917,R482,Mumbai,Kolkata,2026-01-25 17:53:00,2026-01-25 18:04:00,2026-01-25 17:56:00,CANCELLED,D302,1558,CreditCard,
O100107,C9026,R417,Bangalore,Delhi,2026-01-11 01:01:00,2026-01-11 01:04:00,2026-01-11 02:03:00,PLACED,D562,546,UPI,
O100108,C7444,R434,Bangalore,Chennai,2026-01-18 08:08:00,2026-01-18 08:08:00,2026-01-18 08:54:00,DELIVERED,D265,1527,UPI,3.0
O100109,C1036,R987,Bangalore,Delhi,2026-01-09 14:29:00,2026-01-09 14:29:00,2026-01-09 15:28:00,CANCELLED,D173,2346,Wallet,
O100110,C4307,R476,Delhi,Hyderabad,2026-01-05 07:43:00,,2026-01-05 08:26:00,DELIVERED,D742,1734,CreditCard,4.0
O100111,C2995,R238,Kolkata,Hyderabad,2026-02-03 20:49:00,2026-02-03 20:46:00,2026-02-03 21:21:00,DELIVERED,D430,1690,CreditCard,3.0
O100112,C1165,R906,Pune,Pune,2026-01-18 21:20:00,2026-01-18 21:25:00,2026-01-18 22:04:00,PLACED,D321,456,CreditCard,
O100113,C4058,R879,Hyderabad,Chennai,2026-01-21 00:18:00,2026-01-21 00:20:00,2026-01-21 00:54:00,CANCELLED,D748,2260,CreditCard,
O100114,C7942,R158,Chennai,Kolkata,2026-01-24 00:20:00,2026-01-24 00:45:00,2026-01-24 01:30:00,CANCELLED,D802,invalid,COD,
O100115,C7930,R531,Mumbai,Pune,2026-01-20 00:07:00,2026-01-20 00:09:00,2026-01-20 00:01:00,PICKED,D129,,DebitCard,
O100116,C7584,R143,Pune,Bangalore,2026/01/08 06:08:00,2026-01-08 06:38:00,2026-01-08 07:14:00,PLACED,D538,1066,Wallet,
O100117,C8727,R688,Chennai,Mumbai,2026-01-04 07:51:00,2026-01-04 08:10:00,,DELIVERED,D277,1951,UPI,2.0
O100118,C1942,R416,Chennai,Kolkata,2026-01-24 18:54:00,2026-01-24 19:20:00,2026-01-24 19:52:00,DELIVERED,D270,800,COD,3.8
O100119,C2993,R739,Kolkata,Hyderabad,02/01/2026 17:23:00,2026-01-02 17:51:00,2026-01-02 18:07:00,DELIVERED,D171,522,CreditCard,1.1
O100120,C6306,R111,Hyderabad,Kolkata,2026-01-04 07:08:00,2026-01-04 07:20:00,2026-01-04 07:44:00,CANCELLED,D513,1580,COD,
O100121,C6864,R451,Kolkata,Mumbai,2026-01-24 03:34:00,,2026-01-24 04:34:00,DELIVERED,D514,2101,DebitCard,4.5
O100122,C5058,R563,Bangalore,Hyderabad,2026-01-29 11:55:00,2026-01-29 12:04:00,2026-01-29 12:46:00,DELIVERED,D446,1669,COD,4.3
O100123,C9520,R174,Bangalore,Pune,2026-01-19 10:42:00,2026-01-19 10:59:00,2026-01-19 11:40:00,CANCELLED,D778,661,COD,
O100124,C4437,R901,Delhi,Kolkata,2026-01-02 11:20:00,2026-01-02 11:50:00,2026-01-02 12:42:00,DELIVERED,D302,"2,970",Wallet,1.7
O100125,C7661,R281,Pune,Delhi,2026-01-23 23:15:00,2026-01-23 23:23:00,2026-01-24 00:00:00,CANCELLED,D374,1340,DebitCard,
O100126,C2875,R896,Kolkata,Delhi,2026-01-21 05:42:00,2026-01-21 05:41:00,2026-01-21 05:58:00,CANCELLED,D795,2148,CreditCard,
O100127,C5728,R627,Delhi,Chennai,2026-01-27 11:40:00,2026-01-27 11:57:00,2026-01-27 12:30:00,CANCELLED,D532,773,DebitCard,
O100128,C9247,R568,Delhi,Pune,2026-01-28 19:19:00,2026-01-28 19:40:00,2026-01-28 19:43:00,PICKED,D250,1881,DebitCard,
O100129,C6732,R835,Kolkata,Kolkata,2026-02-03 22:54:00,2026-02-03 23:21:00,2026-02-03 23:58:00,PICKED,D186,1005,COD,
O100130,C6009,R741,Delhi,Kolkata,2026-01-07 13:00:00,2026-01-07 13:19:00,,DELIVERED,D235,759,CreditCard,3.6
O100131,C1843,R909,Hyderabad,Hyderabad,2026-01-20 02:17:00,2026-01-20 02:22:00,2026-01-20 03:16:00,CANCELLED,D868,1972,COD,
O100132,C7512,R293,Pune,Bangalore,2026-01-27 10:55:00,,2026-01-27 10:43:00,CANCELLED,D472,241,UPI,
O100133,C2530,R967,Bangalore,Bangalore,2026-02-04 10:03:00,2026-02-04 10:23:00,2026-02-04 10:57:00,CANCELLED,D600,invalid,DebitCard,
O100134,C9406,R420,Delhi,Kolkata,2026-01-13 13:21:00,2026-01-13 13:51:00,2026-01-13 13:49:00,CANCELLED,D672,2205,UPI,
O100135,C4465,R737,Mumbai,Delhi,2026-01-30 10:44:00,2026-01-30 11:13:00,2026-01-30 11:42:00,PICKED,D664,1066,Wallet,
O100136,C4383,R953,Delhi,Mumbai,17/01/2026 19:53:00,2026-01-17 20:17:00,2026-01-17 20:28:00,DELIVERED,D999,2120,Wallet,3.5
O100137,C8742,R239,Mumbai,Chennai,2026-01-10 01:21:00,2026-01-10 01:46:00,2026-01-10 01:52:00,CANCELLED,D924,389,CreditCard,
O100138,C7125,R788,Kolkata,Bangalore,2026-01-31 05:33:00,2026-01-31 05:56:00,2026-01-31 06:33:00,DELIVERED,D517,,UPI,2.4
O100139,C8327,R782,Bangalore,Delhi,2026-01-09 15:35:00,2026-01-09 15:49:00,2026-01-09 16:22:00,DELIVERED,D331,697,DebitCard,2.6
O100140,C7976,R733,Mumbai,Delhi,2026-01-11 09:24:00,2026-01-11 09:25:00,2026-01-11 09:17:00,DELIVERED,D402,948,CreditCard,1.9
O100141,C5103,R380,Bangalore,Kolkata,2026-01-23 20:28:00,2026-01-23 20:47:00,2026-01-23 20:43:00,CANCELLED,D493,460,Wallet,
O100142,C3596,R259,Pune,Delhi,2026-01-18 12:35:00,2026-01-18 13:05:00,2026-01-18 13:38:00,PICKED,D380,1609,COD,
O100143,C4616,R460,Pune,Bangalore,2026-01-09 12:11:00,,,PLACED,D843,1767,Wallet,
O100144,C5641,R945,Hyderabad,Chennai,2026-01-31 15:13:00,2026-01-31 15:15:00,2026-01-31 15:24:00,PLACED,D181,2171,CreditCard,
O100145,C9937,R379,Kolkata,Hyderabad,2026/01/06 02:33:00,2026-01-06 02:53:00,2026-01-06 03:47:00,PLACED,D175,1610,DebitCard,
O100146,C7599,R514,Kolkata,Hyderabad,2026-01-15 09:32:00,2026-01-15 09:39:00,2026-01-15 10:38:00,DELIVERED,D728,1918,Wallet,4.1
O100147,C6357,R735,Bangalore,Hyderabad,2026-01-28 03:18:00,2026-01-28 03:40:00,2026-01-28 03:46:00,CANCELLED,D738,863,COD,
O100148,C4867,R596,Kolkata,Chennai,2026-01-05 20:03:00,2026-01-05 20:18:00,2026-01-05 21:10:00,PICKED,D264,1058,COD,
O100149,C6743,R216,Pune,Bangalore,2026-01-20 22:54:00,2026-01-20 23:03:00,2026-01-20 23:00:00,PICKED,D781,703,UPI,
O100150,C3608,R145,Chennai,Hyderabad,2026-01-09 18:35:00,2026-01-09 18:44:00,2026-01-09 19:05:00,DELIVERED,D721,1368,CreditCard,4.6
O100151,C9847,R960,Delhi,Bangalore,2026-01-25 18:44:00,2026-01-25 19:01:00,2026-01-25 18:59:00,PLACED,D767,553,COD,
O100152,C7906,R866,Chennai,Kolkata,2026-01-15 19:10:00,2026-01-15 19:34:00,2026-01-15 20:33:00,PLACED,D986,invalid,UPI,
O100153,C8650,R657,Mumbai,Chennai,27/01/2026 17:25:00,2026-01-27 17:24:00,2026-01-27 18:17:00,DELIVERED,D292,1090,UPI,3.3
O100154,C3158,R963,Delhi,Hyderabad,2026-01-28 11:12:00,,2026-01-28 11:16:00,CANCELLED,D908,686,UPI,
O100155,C8260,R527,Delhi,Delhi,2026-01-29 01:48:00,2026-01-29 02:05:00,2026-01-29 03:04:00,PICKED,D742,"3,506",COD,
O100156,C2808,R650,Mumbai,Delhi,2026-01-18 05:40:00,2026-01-18 05:48:00,,PICKED,D561,490,Wallet,
O100157,C5302,R893,Delhi,Delhi,2026-01-15 03:26:00,2026-01-15 03:23:00,2026-01-15 04:01:00,DELIVERED,D488,2386,Wallet,1.2
O100158,C7561,R191,Hyderabad,Mumbai,2026-01-11 19:24:00,2026-01-11 19:35:00,2026-01-11 19:45:00,PLACED,D358,2143,Wallet,
O100159,C1529,R556,Hyderabad,Mumbai,2026-01-23 09:11:00,2026-01-23 09:40:00,2026-01-23 09:51:00,CANCELLED,D142,1189,Wallet,
O100160,C7212,R466,Mumbai,Mumbai,2026-01-14 18:44:00,2026-01-14 19:01:00,2026-01-14 19:00:00,PICKED,D927,1011,COD,
O100161,C8083,R914,Hyderabad,Delhi,2026-01-16 19:09:00,2026-01-16 19:12:00,2026-01-16 20:03:00,CANCELLED,D684,,COD,
O100162,C9198,R469,Pune,Bangalore,2026-01-11 05:00:00,2026-01-11 05:10:00,2026-01-11 05:32:00,DELIVERED,D626,706,COD,3.0
O100163,C8086,R332,Delhi,Hyderabad,2026-01-17 01:45:00,2026-01-17 01:53:00,2026-01-17 02:02:00,DELIVERED,D947,666,UPI,2.0
O100164,C3769,R118,Pune,Pune,2026-01-23 21:41:00,2026-01-23 21:52:00,2026-01-23 21:57:00,PLACED,D508,1010,Wallet,
O100165,C3536,R486,Hyderabad,Pune,2026-01-02 14:23:00,,2026-01-02 14:44:00,PICKED,D877,1962,DebitCard,
O100166,C9101,R363,Mumbai,Mumbai,2026-01-10 12:53:00,2026-01-10 13:07:00,2026-01-10 13:52:00,CANCELLED,D989,1707,Wallet,
O100167,C5195,R637,Pune,Pune,2026-01-28 04:12:00,2026-01-28 04:07:00,2026-01-28 05:06:00,CANCELLED,D934,2399,UPI,
O100168,C7622,R998,Hyderabad,Hyderabad,2026-01-30 19:28:00,2026-01-30 19:27:00,2026-01-30 19:57:00,PICKED,D767,2082,COD,
O100169,C3603,R743,Pune,Hyderabad,2026-02-03 18:44:00,2026-02-03 19:14:00,,CANCELLED,D885,708,DebitCard,
O100170,C7445,R781,Bangalore,Pune,28/01/2026 05:37:00,2026-01-28 05:58:00,2026-01-28 06:36:00,CANCELLED,D518,508,CreditCard,
O100171,C4894,R597,Mumbai,Bangalore,2026-01-11 21:59:00,2026-01-11 21:54:00,2026-01-11 22:11:00,PLACED,D758,invalid,Wallet,
O100172,C7470,R232,Hyderabad,Mumbai,2026-01-11 22:12:00,2026-01-11 22:21:00,2026-01-11 22:32:00,PLACED,D771,1437,UPI,
O100173,C3674,R580,Chennai,Delhi,2026-01-06 23:47:00,2026-01-06 23:55:00,2026-01-06 23:45:00,CANCELLED,D136,1869,Wallet,
O100174,C8297,R412,Hyderabad,Chennai,2026/01/17 04:14:00,2026-01-17 04:21:00,2026-01-17 05:21:00,CANCELLED,D618,389,DebitCard,
O100175,C1746,R161,Delhi,Pune,2026-01-27 17:33:00,2026-01-27 17:44:00,2026-01-27 18:39:00,DELIVERED,D936,2359,DebitCard,4.8
O100176,C6381,R774,Mumbai,Hyderabad,2026-01-21 14:08:00,,2026-01-21 15:11:00,PICKED,D644,1353,COD,
O100177,C6847,R903,Hyderabad,Kolkata,2026-01-08 22:51:00,2026-01-08 23:15:00,2026-01-08 23:29:00,PLACED,D770,233,DebitCard,
